name,address,subDistrict,district,province,monthlyRent,dailyRent,deposit,advancePayment,electricity,water,serviceFee,phone,internet,ac,furniture,waterHeater,fan,carParking,wifi,cable,cctv,tv,fridge,telephone,pet,smoking,motorbikeParking,elevator,pool,gym,keyCard,fingerPrint,security,restaurant,miniMart,laundry,salon,evCharging,roomType,apartment_url,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,minDeposit,maxDeposit,minAdvancePayment,maxAdvancePayment,waterUnit,waterFix,coordinates,lat,lon,minRoomSize,maxRoomSize,avgMonthlyRent,avgDailyRent,sqmt_avgMonthlyRent,rent_interval,avgRoomSize,สถานศึกษา,ถนน/ซอยใกล้เคียง,ห้างสรรพสินค้า/ตลาด,ย่านต่างๆใกล้เคียง,mean_ถนน/ซอยใกล้เคียง,mean_ย่านต่างๆใกล้เคียง,mean_สถานศึกษา,mean_ห้างสรรพสินค้า/ตลาด,min_ถนน/ซอยใกล้เคียง,min_ย่านต่างๆใกล้เคียง,min_สถานศึกษา,min_ห้างสรรพสินค้า/ตลาด,max_ถนน/ซอยใกล้เคียง,max_ย่านต่างๆใกล้เคียง,max_สถานศึกษา,max_ห้างสรรพสินค้า/ตลาด,cnt_ถนน/ซอยใกล้เคียง,cnt_ย่านต่างๆใกล้เคียง,cnt_สถานศึกษา,cnt_ห้างสรรพสินค้า/ตลาด,interval_สถานศึกษา,interval_ถนน/ซอยใกล้เคียง,interval_ห้างสรรพสินค้า/ตลาด,interval_ย่านต่างๆใกล้เคียง,location,sofa,desk,stove,ที่พักใกล้รถไฟฟ้า,mean_ที่พักใกล้รถไฟฟ้า,min_ที่พักใกล้รถไฟฟ้า,max_ที่พักใกล้รถไฟฟ้า,cnt_ที่พักใกล้รถไฟฟ้า,interval_ที่พักใกล้รถไฟฟ้า
มายเฮ้าส์ 2 @ ราชภัฏ,ซ.1 ถ.หมื่นด้ามพร้าคต ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,"5,000บาท/เดือน",590บาท/วัน,,5000,,,,0.0,0.0,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,"[{'roomType': 'Standard', 'roomStyle': '1 ห้องนอน', 'roomSize': '25 ตร.ม.', 'monthlyRent': '5,000 บาท', 'dailyRent': '590 บาท', 'roomContract': '-'}]",https://www.renthub.in.th/มายเฮ้าส์-2-ราชภัฏ,5000.0,5000.0,590.0,590.0,,,5000.0,5000.0,,,ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,18.8032545,98.9809273,25.0,25.0,5000.0,590.0,200.0,4k-5k,25.0,True,True,True,True,,2690.731707317073,2071.538461538461,2136.6666666666665,,550.0,140.0,370.0,,7200.0,3900.0,6200.0,0.0,41.0,13.0,15.0,0m-300m,,300m-600m,300m-600m,,False,False,False,,,,,,
แอร์พอร์ทโฮม อพาร์ทเม้นต์,ซ.เทศบาลแม่เหียะ ถ.หางดง แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,"4,400 - 4,401บาท/เดือน",,4400,4400,5.0,20 บาท/ยูนิต,,0.0,0.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,"[{'roomType': 'ห้องรา่ยเดือน', 'roomStyle': 'สตูดิโอ', 'roomSize': '-', 'monthlyRent': '4,400 - 4,401 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/แอร์พอร์ทโฮม-อพาร์ทเม้นต์,4400.0,4401.0,,,4400.0,4400.0,4400.0,4400.0,20.0,,แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,18.7409041,98.9483792,,,4400.5,,,4k-5k,,False,False,True,True,,4173.636363636364,,3366.6666666666665,,510.0,,2200.0,,6700.0,,4600.0,,11.0,,3.0,,,2.1km-2.4km,300m-600m,,False,False,False,,,,,,
บ้านต้นไม้ ใกล้โฮมโปรสันทราย  ไปรษณีย์แม่โจ้, ป่าไผ่ สันทราย เชียงใหม่,ป่าไผ่,สันทราย,เชียงใหม่,"3,600 - 3,900บาท/เดือน",,3600,3600,5.0,100 บาทต่อคน/เดือน,,0.0,0.0,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,"[{'roomType': 'ห้องสตูดิโอ', 'roomStyle': '1 ห้องนอน', 'roomSize': '25 ตร.ม.', 'monthlyRent': '3,600 - 3,900 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/บ้านต้นไม้-ใกล้โฮมโปรสันทราย-ไปรษณีย์แม่โจ้,3600.0,3900.0,,,3600.0,3600.0,3600.0,3600.0,,100.0,ป่าไผ่ สันทราย เชียงใหม่,18.8697497,99.0158422,25.0,25.0,3750.0,,150.0,3k-4k,25.0,True,False,True,True,,1513.3333333333333,1700.0,3950.0,,340.0,1700.0,2100.0,,2100.0,1700.0,5800.0,,3.0,1.0,2.0,1.5km-1.8km,,2.1km-2.4km,300m-600m,,False,False,False,,,,,,
Hikou House Apartment สไตล์ญี่ปุ่น เปิดใหม่ ,ซ.เทศบาลแม่เหียะ แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,"4,600บาท/เดือน",,4000,,6.0,100 บาทต่อคน/เดือน,,0.0,,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,"[{'roomType': 'ห้องมาตรฐาน', 'roomStyle': 'สตูดิโอ', 'roomSize': '-', 'monthlyRent': '4,600 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/hikou-house-apartment-สไตล์ญี่ปุ่น-เปิดใหม่,4600.0,4600.0,,,4000.0,4000.0,,,,100.0,แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,18.7409041,98.9483792,,,4600.0,,,4k-5k,,False,False,True,True,,4155.454545454545,,3333.333333333333,,510.0,,2100.0,,6600.0,,4600.0,,11.0,,3.0,,,2.1km-2.4km,300m-600m,,False,False,False,,,,,,
มายเฮ้าส์ 4 @ ลานนา,ซ.9 ถ.สุขเกษม ป่าตัน เมืองเชียงใหม่ เชียงใหม่,ป่าตัน,เมืองเชียงใหม่,เชียงใหม่,"4,900บาท/เดือน",590บาท/วัน,,,,150 บาทต่อห้อง/เดือนใช้ได้ไม่เกิน 5 หน่วยส่วนเกินคิด 20 บาท/ยูนิต,,0.0,0.0,True,True,True,False,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,"[{'roomType': 'ห้องแอร์', 'roomStyle': '1 ห้องนอน', 'roomSize': '25 ตร.ม.', 'monthlyRent': '4,900 บาท', 'dailyRent': '590 บาท', 'roomContract': '-'}]",https://www.renthub.in.th/มายเฮ้าส์-4-ลานนา,4900.0,4900.0,590.0,590.0,,,,,20.0,150.0,ป่าตัน เมืองเชียงใหม่ เชียงใหม่,18.8417987,98.9862813,25.0,25.0,4900.0,590.0,196.0,4k-5k,25.0,True,False,True,True,,2883.75,2333.333333333333,2885.714285714286,,660.0,1500.0,1200.0,,6200.0,3000.0,5200.0,,24.0,6.0,7.0,1.5km-1.8km,,1.2km-1.5km,600m-900m,,False,False,False,,,,,,
บ้านรถไฟ เชียงใหม่ Rod Fai House ใกล้โรงเรียนมงฟอร์ตมัธยม  โรงพยาบาลกรุงเทพ,ถ.ต้นขาม ท่าศาลา เมืองเชียงใหม่ เชียงใหม่,ท่าศาลา,เมืองเชียงใหม่,เชียงใหม่,"3,500 - 4,000บาท/เดือน",,3000,3500,5.0,100 บาทต่อคน/เดือน,,,0.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,"[{'roomType': 'ห้องนอน+ห้องน้ำ+ระเบียง', 'roomStyle': '1 ห้องนอน', 'roomSize': '20 ตร.ม.', 'monthlyRent': '3,500 - 4,000 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/บ้านรถไฟ-เชียงใหม่-rod-fai-house-ใกล้โรงเรียนมงฟอร์ตมัธยม-โรงพยาบาลกรุงเทพ,3500.0,4000.0,,,3000.0,3000.0,3500.0,3500.0,,100.0,ท่าศาลา เมืองเชียงใหม่ เชียงใหม่,18.76948,99.0405754,20.0,20.0,3750.0,,187.5,3k-4k,20.0,True,False,True,True,,2835.833333333333,2328.5714285714284,2440.0,,680.0,1000.0,1300.0,,6900.0,4000.0,7000.0,,24.0,7.0,10.0,900m-1.2km,,1.2km-1.5km,600m-900m,,False,False,False,,,,,,
ภูฟ้าเพลส,ถ.คันคลองชลประทาน ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,"3,100 - 3,700บาท/เดือน",,,,6.0,200 บาทต่อคน/เดือน,,,0.0,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,"[{'roomType': 'หอพัก', 'roomStyle': '1 ห้องนอน', 'roomSize': '39 ตร.ม.', 'monthlyRent': '3,100 - 3,700 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/ภูฟ้าเพลส,3100.0,3700.0,,,,,,,,200.0,ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,18.8032545,98.9809273,39.0,39.0,3400.0,,87.17948717948718,3k-4k,39.0,True,True,True,True,,3028.8,1526.6666666666667,2680.0,,700.0,860.0,1900.0,,7000.0,2500.0,4700.0,0.0,25.0,6.0,5.0,600m-900m,,1.8km-2.1km,600m-900m,,False,False,False,,,,,,
เดอะกรีนเนอรี่แลนด์มาร์ค, ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,ช้างเผือก,เมืองเชียงใหม่,เชียงใหม่,"3,500 - 10,500บาท/เดือน",,3500,3500,7.0,30 บาท/ยูนิต,,0.0,0.0,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,"[{'roomType': 'Premium Suite A', 'roomStyle': '1 ห้องนอน', 'roomSize': '38 ตร.ม.', 'monthlyRent': '7,900 - 9,400 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Deluxe Corner A', 'roomStyle': '1 ห้องนอน', 'roomSize': '29 ตร.ม.', 'monthlyRent': '6,500 - 8,000 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Premium Suite Grand  A', 'roomStyle': '1 ห้องนอน', 'roomSize': '38 ตร.ม.', 'monthlyRent': '8,500 - 10,000 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Deluxe C', 'roomStyle': '1 ห้องนอน', 'roomSize': '29 ตร.ม.', 'monthlyRent': '6,200 - 7,700 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Premium Suite Grand B', 'roomStyle': '1 ห้องนอน', 'roomSize': '40 ตร.ม.', 'monthlyRent': '9,000 - 10,500 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Deluxe Geand  B', 'roomStyle': '1 ห้องนอน', 'roomSize': '29 ตร.ม.', 'monthlyRent': '6,700 - 8,200 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Deluxe B', 'roomStyle': '1 ห้องนอน', 'roomSize': '29 ตร.ม.', 'monthlyRent': '6,200 - 7,700 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Superior D', 'roomStyle': '1 ห้องนอน', 'roomSize': '25 ตร.ม.', 'monthlyRent': '3,500 - 5,000 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Suite A', 'roomStyle': '1 ห้องนอน', 'roomSize': '34 ตร.ม.', 'monthlyRent': '7,400 - 8,900 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Deluxe A', 'roomStyle': '1 ห้องนอน', 'roomSize': '29 ตร.ม.', 'monthlyRent': '6,200 - 7,700 บาท', 'dailyRent': '-', 'roomContract': '-'}, {'roomType': 'Premium Suite B', 'roomStyle': '1 ห้องนอน', 'roomSize': '40 ตร.ม.', 'monthlyRent': '8,500 - 10,000 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,3500.0,10500.0,,,3500.0,3500.0,3500.0,3500.0,30.0,,ช้างเผือก เมืองเชียงใหม่ เชียงใหม่,18.8032545,98.9809273,25.0,40.0,7000.0,,280.0,6k-7k,32.5,True,True,True,True,,2924.5454545454545,2188.181818181818,2485.714285714286,,810.0,390.0,1300.0,,7000.0,5000.0,4700.0,0.0,33.0,11.0,7.0,300m-600m,,1.2km-1.5km,600m-900m,,False,False,False,,,,,,
สมิทธ์ เรสซิเด้นซ์ (เชียงใหม่),ถ.นันทาราม หายยา เมืองเชียงใหม่ เชียงใหม่,หายยา,เมืองเชียงใหม่,เชียงใหม่,"7,700 - 20,000บาท/เดือน","650 - 1,500บาท/วัน",7700,7700,8.0,30 บาท/ยูนิตขั้นต่ำ 250 บาท/เดือน,,,0.0,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,False,"[{'roomType': 'Deluxe 6th floor', 'roomStyle': 'สตูดิโอ', 'roomSize': '32 ตร.ม.', 'monthlyRent': '9,900 - 10,400 บาท', 'dailyRent': '850 บาท', 'roomContract': '-'}, {'roomType': 'Suite room', 'roomStyle': '1 ห้องนอน', 'roomSize': '64 ตร.ม.', 'monthlyRent': '17,000 - 20,000 บาท', 'dailyRent': '1,500 บาท', 'roomContract': '-'}, {'roomType': 'Superior 4th floor', 'roomStyle': 'สตูดิโอ', 'roomSize': '32 ตร.ม.', 'monthlyRent': '8,500 - 9,000 บาท', 'dailyRent': '750 บาท', 'roomContract': '-'}, {'roomType': 'Standard 3rd floor', 'roomStyle': 'สตูดิโอ', 'roomSize': '32 ตร.ม.', 'monthlyRent': '7,700 - 8,000 บาท', 'dailyRent': '650 บาท', 'roomContract': '-'}, {'roomType': 'Deluxe 5th floor', 'roomStyle': 'สตูดิโอ', 'roomSize': '32 ตร.ม.', 'monthlyRent': '9,600 - 9,900 บาท', 'dailyRent': '850 บาท', 'roomContract': '-'}]",https://www.renthub.in.th/สมิทธ์-เรสซิเด้นซ์-เชียงใหม่,7700.0,20000.0,650.0,1500.0,7700.0,7700.0,7700.0,7700.0,30.0,250.0,หายยา เมืองเชียงใหม่ เชียงใหม่,18.7751766,98.9774012,32.0,64.0,13850.0,1075.0,432.8125,10k+,48.0,True,False,True,True,,2063.243243243244,1901.0,1517.0588235294117,,150.0,500.0,270.0,,4600.0,3700.0,2400.0,,37.0,10.0,17.0,300m-600m,,0m-300m,0m-300m,,False,False,False,,,,,,
บ้านตากอากาศ,ซ.Airport home แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,แม่เหียะ,เมืองเชียงใหม่,เชียงใหม่,"4,200บาท/เดือน",,,,6.9,25 บาท/ยูนิต0,,,,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"[{'roomType': 'Standard', 'roomStyle': 'สตูดิโอ', 'roomSize': '25 ตร.ม.', 'monthlyRent': '4,200 บาท', 'dailyRent': '-', 'roomContract': '-'}]",https://www.renthub.in.th/บ้านตากอากาศ,4200.0,4200.0,,,,,,,25.0,,แม่เหียะ เมืองเชียงใหม่ เชียงใหม่,18.7409041,98.9483792,25.0,25.0,4200.0,,168.0,4k-5k,25.0,True,False,True,True,,4109.090909090909,5000.0,3233.333333333333,,500.0,5000.0,2000.0,,6500.0,5000.0,4500.0,,11.0,1.0,3.0,3.0km+,,1.8km-2.1km,300m-600m,,False,False,False,,,,,,
