url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/มายเฮ้าส์-2-ราชภัฏ,มายเฮ้าส์ 2 @ ราชภัฏ,Standard,1 ห้องนอน,25.0,"5,000 บาท",590 บาท,,5000.0,5000.0,590.0,590.0,
https://www.renthub.in.th/แอร์พอร์ทโฮม-อพาร์ทเม้นต์,แอร์พอร์ทโฮม อพาร์ทเม้นต์,ห้องรา่ยเดือน,สตูดิโอ,,"4,400 - 4,401 บาท",-,,4400.0,4401.0,,,
https://www.renthub.in.th/บ้านต้นไม้-ใกล้โฮมโปรสันทราย-ไปรษณีย์แม่โจ้,บ้านต้นไม้ ใกล้โฮมโปรสันทราย  ไปรษณีย์แม่โจ้,ห้องสตูดิโอ,1 ห้องนอน,25.0,"3,600 - 3,900 บาท",-,,3600.0,3900.0,,,
https://www.renthub.in.th/hikou-house-apartment-สไตล์ญี่ปุ่น-เปิดใหม่,Hikou House Apartment สไตล์ญี่ปุ่น เปิดใหม่ ,ห้องมาตรฐาน,สตูดิโอ,,"4,600 บาท",-,,4600.0,4600.0,,,
https://www.renthub.in.th/มายเฮ้าส์-4-ลานนา,มายเฮ้าส์ 4 @ ลานนา,ห้องแอร์,1 ห้องนอน,25.0,"4,900 บาท",590 บาท,,4900.0,4900.0,590.0,590.0,
https://www.renthub.in.th/บ้านรถไฟ-เชียงใหม่-rod-fai-house-ใกล้โรงเรียนมงฟอร์ตมัธยม-โรงพยาบาลกรุงเทพ,บ้านรถไฟ เชียงใหม่ Rod Fai House ใกล้โรงเรียนมงฟอร์ตมัธยม  โรงพยาบาลกรุงเทพ,ห้องนอน+ห้องน้ำ+ระเบียง,1 ห้องนอน,20.0,"3,500 - 4,000 บาท",-,,3500.0,4000.0,,,
https://www.renthub.in.th/ภูฟ้าเพลส,ภูฟ้าเพลส,หอพัก,1 ห้องนอน,39.0,"3,100 - 3,700 บาท",-,,3100.0,3700.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Premium Suite A,1 ห้องนอน,38.0,"7,900 - 9,400 บาท",-,,7900.0,9400.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Deluxe Corner A,1 ห้องนอน,29.0,"6,500 - 8,000 บาท",-,,6500.0,8000.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Premium Suite Grand  A,1 ห้องนอน,38.0,"8,500 - 10,000 บาท",-,,8500.0,10000.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Deluxe C,1 ห้องนอน,29.0,"6,200 - 7,700 บาท",-,,6200.0,7700.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Premium Suite Grand B,1 ห้องนอน,40.0,"9,000 - 10,500 บาท",-,,9000.0,10500.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Deluxe Geand  B,1 ห้องนอน,29.0,"6,700 - 8,200 บาท",-,,6700.0,8200.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Deluxe B,1 ห้องนอน,29.0,"6,200 - 7,700 บาท",-,,6200.0,7700.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Superior D,1 ห้องนอน,25.0,"3,500 - 5,000 บาท",-,,3500.0,5000.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Suite A,1 ห้องนอน,34.0,"7,400 - 8,900 บาท",-,,7400.0,8900.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Deluxe A,1 ห้องนอน,29.0,"6,200 - 7,700 บาท",-,,6200.0,7700.0,,,
https://www.renthub.in.th/เดอะกรีนเนอรี่แลนด์มาร์ค,เดอะกรีนเนอรี่แลนด์มาร์ค,Premium Suite B,1 ห้องนอน,40.0,"8,500 - 10,000 บาท",-,,8500.0,10000.0,,,
https://www.renthub.in.th/สมิทธ์-เรสซิเด้นซ์-เชียงใหม่,สมิทธ์ เรสซิเด้นซ์ (เชียงใหม่),Deluxe 6th floor,สตูดิโอ,32.0,"9,900 - 10,400 บาท",850 บาท,,9900.0,10400.0,850.0,850.0,
https://www.renthub.in.th/สมิทธ์-เรสซิเด้นซ์-เชียงใหม่,สมิทธ์ เรสซิเด้นซ์ (เชียงใหม่),Suite room,1 ห้องนอน,64.0,"17,000 - 20,000 บาท","1,500 บาท",,17000.0,20000.0,1500.0,1500.0,
https://www.renthub.in.th/สมิทธ์-เรสซิเด้นซ์-เชียงใหม่,สมิทธ์ เรสซิเด้นซ์ (เชียงใหม่),Superior 4th floor,สตูดิโอ,32.0,"8,500 - 9,000 บาท",750 บาท,,8500.0,9000.0,750.0,750.0,
https://www.renthub.in.th/สมิทธ์-เรสซิเด้นซ์-เชียงใหม่,สมิทธ์ เรสซิเด้นซ์ (เชียงใหม่),Standard 3rd floor,สตูดิโอ,32.0,"7,700 - 8,000 บาท",650 บาท,,7700.0,8000.0,650.0,650.0,
