,name_chain,chain_id
0,Mister Donut (มิสเตอร์ โดนัท),0
1,Dairy Queen (แดรี่ควีน),1
2,ชายสี่บะหมี่เกี๊ยว,2
3,Dayicecream,3
4,Muanchon Coffee (กาแฟมวลชน),4
5,Chao Doi Coffee (กาแฟชาวดอย),5
6,ราชาบะหมี่เกี๊ยว,6
7,Swensen's (สเวนเซ่นส์),7
8,Coffee Arigato (คอฟฟี่ อะริกาโตะ),8
9,Kiko Cha (กิโกะชา),9
10,Southern Coffee (เซาท์เทิร์น คอฟฟี่),10
11,ก๋วยจั๊บหมูกรอบ (เฮียสุย) ยะลา ,11
12,Café Amazon (คาเฟ่ อเมซอน),12
13,MK Restaurants (เอ็มเค เรสโตรองต์),13
14,เด็กชา,14
15,Krua Wang Pae (ครัววังแพะ),15
16,The Pizza Company (เดอะ พิซซ่า คอมปะนี),16
17,BonChon (บอนชอน),17
18,KFC (เคเอฟซี),18
19,McDonald's (แมคโดนัลด์),19
20,ซาลาเปาโกอ้วน,20
21,ต้าเหยิน,21
22,ไก่ทอดโอปป้า,22
23,Kamu Tea (คามุ),23
24,Auntie Anne's (อานตี้ แอนส์),24
25,Chester's (เชสเตอร์),25
26,Potato Corner (โปเตโต้ คอร์เนอร์),26
27,Nobicha (โนบิชา),27
28,Pizza Hut (พิซซ่าฮัท),28
29,ไก่เกาหลี Indy,29
30,Fuji Japanese Restaurant (ฟูจิ เจแปนนิส เรสเตอร์รอง),30
31,After You Dessert Cafe (อาฟเตอร์ยู),31
32,สเต็กลุงหยิก,32
33,S&P Restaurant (เอสแอนด์พี เรสเตอรองต์),33
34,Sukishi Korean Charcoal Grill (ซูกิชิ โคเรียน ชาร์โคล กริลล์),34
35,Starbucks (สตาร์บัคส์),35
36,Oishi Kitchen (โออิชิ คิทเช่น),36
37,Yayoi Japanese Restaurant (ยาโยอิ),37
38,Cold Stone Creamery (โคลด์ สโตน ครีมเมอรี่),38
39,Cha' Mingo,39
40,OOTOYA (โอโตยะ),40
41,Shabushi (ชาบูชิ),41
42,Sizzler (ซิซซ์เล่อร์),42
43,Bar B Q Plaza (บาร์บีคิวพลาซ่า),43
44,Oishi Buffet (โออิชิ บุฟเฟ่ต์),44
45,Milk Land,45
46,Dunkin (ดังกิ้น),46
47, Popcorn Major ,47
48,True Coffee (ทรู คอฟฟี่),48
49,Texas Chicken (เท็กซัส ชิคเก้น),49
50, Bun ( บัน),50
51,PunThai Coffee (กาแฟพันธุ์ไทย),51
52,Momizu House,52
53,S&P Bakery Shop,53
54,โรงนม,54
55,TrueCoffee GO (ทรูคอฟฟี่ โก),55
56,Rin Rin Bubble Milk Tea (ริน ริน),56
57,อ้วนบะกุ๊ดเต๋,57
58,Deli Cafe (เดลี่ คาเฟ่),58
59,เฮียไก่ซีฟู้ด,59
60,Miyazaki Japanese Teppan Dining (มิยาซากิ เทปปันยากิ),60
61,โอชิเน,61
62,ขนมจีนป้าชื่น,62
63,kimkun (คิมคุน),63
64,BonCafe' (บอนกาแฟ),64
65,Majime (มาจิเมะชานมไข่มุก),65
66,Shabu Indy (ชาบู อินดี้),66
67,Buta Shabu (บูตะ ชาบู),67
68,Yomie's Rice x Yogurt,68
69,Manee Mee Nom (มานีมีนม),69
70,O' s Coffee by Opal (โอส์คอฟฟี่ บาย โอปอลล์),70
