,region,province,district,sub_district,province_eng,location,location_id
0,Southern,นราธิวาส,เมืองนราธิวาส,บางนาค,Narathiwat,Southern/นราธิวาส/เมืองนราธิวาส/บางนาค/Narathiwat,0
1,Southern,นราธิวาส,เมืองนราธิวาส,ลำภู,Narathiwat,Southern/นราธิวาส/เมืองนราธิวาส/ลำภู/Narathiwat,1
2,Southern,นราธิวาส,เมืองนราธิวาส,โคกเคียน,Narathiwat,Southern/นราธิวาส/เมืองนราธิวาส/โคกเคียน/Narathiwat,2
3,Southern,นราธิวาส,เมืองนราธิวาส,กะลุวอเหนือ,Narathiwat,Southern/นราธิวาส/เมืองนราธิวาส/กะลุวอเหนือ/Narathiwat,3
4,Southern,นราธิวาส,เมืองนราธิวาส,Not Sated,Narathiwat,Southern/นราธิวาส/เมืองนราธิวาส/Not Sated/Narathiwat,4
5,Southern,ยะลา,เมืองยะลา,สะเตง,Yala,Southern/ยะลา/เมืองยะลา/สะเตง/Yala,5
6,Southern,ยะลา,เมืองยะลา,สะเตงนอก,Yala,Southern/ยะลา/เมืองยะลา/สะเตงนอก/Yala,6
7,Southern,ยะลา,เมืองยะลา,ยะลา,Yala,Southern/ยะลา/เมืองยะลา/ยะลา/Yala,7
8,Southern,ยะลา,เมืองยะลา,ท่าสาป,Yala,Southern/ยะลา/เมืองยะลา/ท่าสาป/Yala,8
9,Southern,ปัตตานี,ยะรัง,เขาตูม,Pattani,Southern/ปัตตานี/ยะรัง/เขาตูม/Pattani,9
10,Southern,ยะลา,Not Sated,Not Sated,Yala,Southern/ยะลา/Not Sated/Not Sated/Yala,10
11,Southern,ปัตตานี,เมืองปัตตานี,บานา,Pattani,Southern/ปัตตานี/เมืองปัตตานี/บานา/Pattani,11
12,Southern,ปัตตานี,เมืองปัตตานี,สะบารัง,Pattani,Southern/ปัตตานี/เมืองปัตตานี/สะบารัง/Pattani,12
13,Southern,ปัตตานี,เมืองปัตตานี,รูสะมิแล,Pattani,Southern/ปัตตานี/เมืองปัตตานี/รูสะมิแล/Pattani,13
14,Southern,ปัตตานี,เมืองปัตตานี,จะบังติกอ,Pattani,Southern/ปัตตานี/เมืองปัตตานี/จะบังติกอ/Pattani,14
15,Southern,ปัตตานี,เมืองปัตตานี,อาเนาะรู,Pattani,Southern/ปัตตานี/เมืองปัตตานี/อาเนาะรู/Pattani,15
16,Southern,ปัตตานี,เมืองปัตตานี,ตะลุโบะ,Pattani,Southern/ปัตตานี/เมืองปัตตานี/ตะลุโบะ/Pattani,16
17,Southern,ปัตตานี,หนองจิก,ตุยง,Pattani,Southern/ปัตตานี/หนองจิก/ตุยง/Pattani,17
18,Southern,ปัตตานี,หนองจิก,ดอนรัก,Pattani,Southern/ปัตตานี/หนองจิก/ดอนรัก/Pattani,18
19,Southern,ปัตตานี,ยะหริ่ง,แหลมโพธิ์,Pattani,Southern/ปัตตานี/ยะหริ่ง/แหลมโพธิ์/Pattani,19
20,Southern,ปัตตานี,เมืองปัตตานี,ตันหยงลุโละ,Pattani,Southern/ปัตตานี/เมืองปัตตานี/ตันหยงลุโละ/Pattani,20
21,Southern,ปัตตานี,ยะหริ่ง,บางปู,Pattani,Southern/ปัตตานี/ยะหริ่ง/บางปู/Pattani,21
22,Southern,ปัตตานี,เมืองปัตตานี,บาราโหม,Pattani,Southern/ปัตตานี/เมืองปัตตานี/บาราโหม/Pattani,22
23,Southern,ปัตตานี,ยะรัง,ยะรัง,Pattani,Southern/ปัตตานี/ยะรัง/ยะรัง/Pattani,23
24,Southern,ปัตตานี,หนองจิก,บางตาวา,Pattani,Southern/ปัตตานี/หนองจิก/บางตาวา/Pattani,24
25,Eastern,สุรินทร์,บัวเชด,สะเดา,Surin,Eastern/สุรินทร์/บัวเชด/สะเดา/Surin,25
26,Southern,ปัตตานี,Not Sated,Not Sated,Pattani,Southern/ปัตตานี/Not Sated/Not Sated/Pattani,26
27,Southern,สงขลา,หาดใหญ่,หาดใหญ่,Songkhla,Southern/สงขลา/หาดใหญ่/หาดใหญ่/Songkhla,27
28,Southern,สงขลา,หาดใหญ่,ควนลัง,Songkhla,Southern/สงขลา/หาดใหญ่/ควนลัง/Songkhla,28
29,Southern,สงขลา,เมืองสงขลา,บ่อยาง,Songkhla,Southern/สงขลา/เมืองสงขลา/บ่อยาง/Songkhla,29
30,Southern,สงขลา,หาดใหญ่,คลองแห,Songkhla,Southern/สงขลา/หาดใหญ่/คลองแห/Songkhla,30
31,Southern,สงขลา,หาดใหญ่,คอหงส์,Songkhla,Southern/สงขลา/หาดใหญ่/คอหงส์/Songkhla,31
32,Southern,สงขลา,เมืองสงขลา,เขารูปช้าง,Songkhla,Southern/สงขลา/เมืองสงขลา/เขารูปช้าง/Songkhla,32
33,Southern,สงขลา,หาดใหญ่,บ้านพรุ,Songkhla,Southern/สงขลา/หาดใหญ่/บ้านพรุ/Songkhla,33
34,Southern,สงขลา,หาดใหญ่,คลองอู่ตะเภา,Songkhla,Southern/สงขลา/หาดใหญ่/คลองอู่ตะเภา/Songkhla,34
35,Southern,สงขลา,เมืองสงขลา,พะวง,Songkhla,Southern/สงขลา/เมืองสงขลา/พะวง/Songkhla,35
36,Southern,สงขลา,สิงหนคร,หัวเขา,Songkhla,Southern/สงขลา/สิงหนคร/หัวเขา/Songkhla,36
37,Bangkok,กรุงเทพมหานคร,พระนคร,บวรนิเวศ,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/พระนคร/บวรนิเวศ/Bangkok Metropolis,37
38,Bangkok,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บึงกุ่ม/นวลจันทร์/Bangkok Metropolis,38
39,Central,สมุทรปราการ,พระสมุทรเจดีย์,บ้านคลองสวน,Samut Prakan,Central/สมุทรปราการ/พระสมุทรเจดีย์/บ้านคลองสวน/Samut Prakan,39
40,Southern,สงขลา,บางกล่ำ,ท่าช้าง,Songkhla,Southern/สงขลา/บางกล่ำ/ท่าช้าง/Songkhla,40
