,category,category_id
0,ของหวาน/เบเกอรี/เค้ก,0
1,ก๋วยเตี๋ยว,1
2,อาหารจานเดียว,2
3,ร้านกาแฟ/ชา,3
4,เบเกอรี/เค้ก,4
5,คาเฟ่,5
6,ของหวาน/ไอศกรีม,6
7,เครื่องดื่ม/น้ำผลไม้,7
8,อาหารมุสลิม/ฮาลาล,8
9,อาหารตามสั่ง,9
10,เครื่องดื่ม/น้ำผลไม้/ร้านกาแฟ/ชา/เบเกอรี/เค้ก,10
11,เบอร์เกอร์/ฟาสต์ฟู้ด/จานด่วน/เครื่องดื่ม/น้ำผลไม้,11
12,เบเกอรี/เค้ก/ไอศกรีม/เครื่องดื่ม/น้ำผลไม้,12
13,ของหวาน,13
14,อื่นๆ,14
15,สตรีทฟู้ด/รถเข็น,15
16,เบเกอรี/เค้ก/ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,16
17,เบเกอรี/เค้ก/ร้านกาแฟ/ชา/ของหวาน,17
18,อาหารไทย,18
19,สเต๊ก,19
20,อาหารมุสลิม/ฮาลาล/อาหารฟิวชั่น/เครื่องดื่ม/น้ำผลไม้,20
21,อาหารอีสาน/ร้านส้มตำ,21
22,พิซซ่า/อาหารทะเล,22
23,เบเกอรี/เค้ก/เครื่องดื่ม/น้ำผลไม้,23
24,อาหารญี่ปุ่น/ชานมไข่มุก/ซูชิ,24
25,อาหารตามสั่ง/อาหารมุสลิม/ฮาลาล,25
26,เบอร์เกอร์,26
27,อาหารญี่ปุ่น,27
28,อาหารอีสาน/ร้านส้มตำ/อาหารไทย,28
29,ของหวาน/ร้านกาแฟ/ชา,29
30,ชานมไข่มุก,30
31,ปิ้งย่าง,31
32,อาหารมุสลิม/ฮาลาล/ร้านข้าวต้ม/เครื่องดื่ม/น้ำผลไม้,32
33,อาหารคลีน/สลัด,33
34,อาหารมุสลิม/ฮาลาล/อาหารตามสั่ง,34
35,ชานมไข่มุก/อาหารมุสลิม/ฮาลาล,35
36,เบอร์เกอร์/อาหารมุสลิม/ฮาลาล,36
37,ไอศกรีม/คาเฟ่/ร้านกาแฟ/ชา,37
38,อาหารทะเล,38
39,อาหารมุสลิม/ฮาลาล/อาหารเหนือ/อาหารไทย,39
40,ของหวาน/เครื่องดื่ม/น้ำผลไม้,40
41,คาเฟ่/อาหารจานเดียว/อาหารไทย,41
42,อาหารฟิวชั่น,42
43,อาหารเหนือ/อาหารตามสั่ง,43
44,ก๋วยเตี๋ยว/สตรีทฟู้ด/รถเข็น,44
45,อาหารมุสลิม/ฮาลาล/ร้านกาแฟ/ชา/ของหวาน,45
46,อาหารมุสลิม/ฮาลาล/อาหารไทย/ของหวาน,46
47,ของหวาน/ฟาสต์ฟู้ด/จานด่วน/อาหารตามสั่ง,47
48,สตรีทฟู้ด/รถเข็น/ของหวาน,48
49,ของหวาน/ชานมไข่มุก,49
50,ฟาสต์ฟู้ด/จานด่วน/เครื่องดื่ม/น้ำผลไม้,50
51,อาหารมุสลิม/ฮาลาล/อาหารทะเล/อาหารตามสั่ง,51
52,ร้านกาแฟ/ชา/เบเกอรี/เค้ก,52
53,ฟาสต์ฟู้ด/จานด่วน/อาหารฟิวชั่น/เครื่องดื่ม/น้ำผลไม้,53
54,อาหารจานเดียว/อาหารตามสั่ง,54
55,ไอศกรีม,55
56,ร้านกาแฟ/ชา/พิซซ่า,56
57,ของหวาน/อาหารมุสลิม/ฮาลาล,57
58,ก๋วยเตี๋ยว/อาหารตามสั่ง,58
59,อาหารไทย/อาหารเช้า,59
60,อาหารตามสั่ง/อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว,60
61,อาหารเช้า,61
62,ชานมไข่มุก/ร้านกาแฟ/ชา,62
63,เบเกอรี/เค้ก/ของหวาน/เครื่องดื่ม/น้ำผลไม้,63
64,อาหารจีน/อาหารเช้า,64
65,อาหารเวียดนาม/ก๋วยเตี๋ยว,65
66,เครื่องดื่ม/น้ำผลไม้/เบเกอรี/เค้ก/ไอศกรีม,66
67,ปิ้งย่าง/สตรีทฟู้ด/รถเข็น,67
68,ปิ้งย่าง/ฟาสต์ฟู้ด/จานด่วน,68
69,อาหารมุสลิม/ฮาลาล/อาหารจานเดียว,69
70,อาหารไทย/อาหารจานเดียว/เครื่องดื่ม/น้ำผลไม้,70
71,อาหารไทย/อาหารใต้,71
72,ปิ้งย่าง/อาหารอีสาน/ร้านส้มตำ,72
73,อาหารไทย/Food Truck/ของหวาน,73
74,อาหารเช้า/ปิ้งย่าง,74
75,อาหารมุสลิม/ฮาลาล/ปิ้งย่าง,75
76,อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว/เครื่องดื่ม/น้ำผลไม้,76
77,อาหารไทย/อาหารตามสั่ง,77
78,คาเฟ่/อาหารจานเดียว/ร้านกาแฟ/ชา,78
79,ชาบู/สุกี้ยากี้/หม้อไฟ,79
80,สตรีทฟู้ด/รถเข็น/ไอศกรีม,80
81,อาหารมุสลิม/ฮาลาล/สตรีทฟู้ด/รถเข็น,81
82,ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,82
83,คาราโอเกะ/อาหารตามสั่ง/อาหารไทย,83
84,คาเฟ่/ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,84
85,ร้านกาแฟ/ชา/คาเฟ่,85
86,ซูชิ/อาหารญี่ปุ่น,86
87,ร้านกาแฟ/ชา/ของหวาน,87
88,ซูชิ,88
89,อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว/สตรีทฟู้ด/รถเข็น,89
90,บุฟเฟ่ต์/ชาบู/สุกี้ยากี้/หม้อไฟ/อาหารตามสั่ง,90
91,พิซซ่า,91
92,คาเฟ่/อาหารไทย/เบเกอรี/เค้ก,92
93,ร้านข้าวต้ม/อาหารจานเดียว,93
94,อาหารเกาหลี/ปิ้งย่าง/บุฟเฟ่ต์,94
95,อาหารมุสลิม/ฮาลาล/อาหารเกาหลี,95
96,ชาบู/สุกี้ยากี้/หม้อไฟ/ซูชิ,96
97,ซูชิ/ราเมง/อาหารญี่ปุ่น,97
98,อาหารมุสลิม/ฮาลาล/อาหารไทย,98
99,อาหารใต้,99
100,อาหารอีสาน/ร้านส้มตำ/ปิ้งย่าง,100
101,อาหารไทย/อาหารทะเล/อาหารใต้,101
102,อาหารตามสั่ง/อาหารจานเดียว,102
103,อาหารทะเล/อาหารมุสลิม/ฮาลาล,103
104,ร้านกาแฟ/ชา/อาหารตามสั่ง,104
105,อาหารอีสาน/ร้านส้มตำ/อาหารตามสั่ง,105
106,อาหารไทย/ร้านริมน้ำ,106
107,ร้านกาแฟ/ชา/อาหารจานเดียว/ของหวาน,107
108,อาหารตามสั่ง/อาหารไทย/เครื่องดื่ม/น้ำผลไม้,108
109,อาหารมุสลิม/ฮาลาล/อาหารอีสาน/ร้านส้มตำ,109
110,อื่นๆ/อาหารจานเดียว/คาเฟ่,110
111,อาหารจีน/อาหารไทย,111
112,พิซซ่า/อาหารฟิวชั่น,112
113,อาหารไทย/อาหารตามสั่ง/เครื่องดื่ม/น้ำผลไม้,113
114,ปิ้งย่าง/อาหารมุสลิม/ฮาลาล,114
115,อาหารตามสั่ง/อาหารไทย,115
116,อาหารใต้/อาหารไทย,116
117,อาหารตามสั่ง/อาหารจีน/อาหารไทย,117
118,ร้านกาแฟ/ชา/เบเกอรี/เค้ก/ของหวาน,118
119,อาหารไทย/อาหารทะเล,119
120,อาหารไทย/ฟาสต์ฟู้ด/จานด่วน,120
121,อาหารมุสลิม/ฮาลาล/อาหารจานเดียว/อาหารตามสั่ง,121
122,คาเฟ่/เบเกอรี/เค้ก,122
123,อาหารไทย/คาเฟ่,123
124,คาเฟ่/ร้านริมน้ำ,124
125,อาหารเช้า/เครื่องดื่ม/น้ำผลไม้,125
126,ไอศกรีม/ของหวาน/เครื่องดื่ม/น้ำผลไม้,126
127,อาหารมุสลิม/ฮาลาล/อาหารตามสั่ง/เครื่องดื่ม/น้ำผลไม้,127
128,อาหารมุสลิม/ฮาลาล/อาหารตามสั่ง/อาหารเช้า,128
129,ติ่มซำ/อาหารตามสั่ง,129
130,ร้านกาแฟ/ชา/เบเกอรี/เค้ก/ไอศกรีม/เครื่องดื่ม/น้ำผลไม้,130
131,สเต๊ก/อาหารมุสลิม/ฮาลาล/พิซซ่า,131
132,สเต๊ก/อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว,132
133,ไอศกรีม/ของหวาน,133
134,อาหารตามสั่ง/ของหวาน,134
135,หมูกระทะ/อาหารตามสั่ง,135
136,ฟาสต์ฟู้ด/จานด่วน/ไอศกรีม,136
137,ไอศกรีม/อาหารตามสั่ง/ของหวาน,137
138,ร้านกาแฟ/ชา/ไอศกรีม,138
139,คาเฟ่/ของหวาน/เครื่องดื่ม/น้ำผลไม้,139
140,ร้านริมน้ำ/อาหารมุสลิม/ฮาลาล/อาหารไทย,140
141,อาหารทะเล/อาหารจีน/อาหารไทย,141
142,อาหารจานเดียว/คาเฟ่/ของหวาน,142
143,ผับ/เที่ยวกลางคืน/อาหารตามสั่ง,143
144,กึ่งผับ/ร้านเหล้า/บาร์/ผับ/เที่ยวกลางคืน,144
145,กึ่งผับ/ร้านเหล้า/บาร์/อาหารไทย,145
146,อาหารนานาชาติ,146
147,กึ่งผับ/ร้านเหล้า/บาร์,147
148,อาหารตามสั่ง/เครื่องดื่ม/น้ำผลไม้,148
149,ไอศกรีม/เบเกอรี/เค้ก,149
150,อาหารมุสลิม/ฮาลาล/ของหวาน,150
151,ร้านกาแฟ/ชา/อาหารมุสลิม/ฮาลาล/เครื่องดื่ม/น้ำผลไม้,151
152,อาหารญี่ปุ่น/อาหารฟิวชั่น,152
153,เครื่องดื่ม/น้ำผลไม้/อาหารมุสลิม/ฮาลาล,153
154,อาหารตามสั่ง/ก๋วยเตี๋ยว,154
155,ร้านกาแฟ/ชา/ชานมไข่มุก/อาหารมุสลิม/ฮาลาล,155
156,อาหารเกาหลี,156
157,ก๋วยเตี๋ยว/อาหารมุสลิม/ฮาลาล,157
158,ก๋วยเตี๋ยว/ร้านกาแฟ/ชา,158
159,เครื่องดื่ม/น้ำผลไม้/ร้านกาแฟ/ชา,159
160,อาหารมุสลิม/ฮาลาล/อาหารทะเล/อาหารฟิวชั่น,160
161,อาหารมุสลิม/ฮาลาล/อาหารใต้/อาหารตามสั่ง,161
162,อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว,162
163,บุฟเฟ่ต์,163
164,ร้านกาแฟ/ชา/คาเฟ่/เครื่องดื่ม/น้ำผลไม้,164
165,อาหารอีสาน/ร้านส้มตำ/อาหารจานเดียว/ร้านริมน้ำ,165
166,อาหารเช้า/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/อาหารไทย,166
167,ของหวาน/อาหารมุสลิม/ฮาลาล/อาหารนานาชาติ,167
168,อาหารมุสลิม/ฮาลาล/คาเฟ่,168
169,ของหวาน/อาหารไทย/เครื่องดื่ม/น้ำผลไม้,169
170,พิซซ่า/อาหารมุสลิม/ฮาลาล/อาหารอิตาเลียน,170
171,ไอศกรีม/อาหารไทย,171
172,Food Truck,172
173,ของหวาน/คาเฟ่,173
174,ร้านข้าวต้ม,174
175,อาหารจานเดียว/อาหารอีสาน/ร้านส้มตำ/สตรีทฟู้ด/รถเข็น,175
176,เครื่องดื่ม/น้ำผลไม้/กึ่งผับ/ร้านเหล้า/บาร์/อื่นๆ,176
177,อาหารจานเดียว/ร้านกาแฟ/ชา/ของหวาน,177
178,อาหารมุสลิม/ฮาลาล/อาหารจีน,178
179,อาหารจานเดียว/ก๋วยเตี๋ยว/อาหารไทย,179
180,ก๋วยเตี๋ยว/อาหารจานเดียว,180
181,ติ่มซำ,181
182,อาหารมุสลิม/ฮาลาล/อาหารทะเล/อาหารไทย,182
183,ร้านกาแฟ/ชา/อาหารนานาชาติ/ของหวาน,183
184,เบเกอรี/เค้ก/ของหวาน,184
185,อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว/อาหารอีสาน/ร้านส้มตำ,185
186,อาหารไทย/ของหวาน,186
187,ฟาสต์ฟู้ด/จานด่วน,187
188,อาหารมุสลิม/ฮาลาล/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/อาหารเช้า,188
189,คาเฟ่/เบเกอรี/เค้ก/เครื่องดื่ม/น้ำผลไม้,189
190,อาหารอินเดีย,190
191,เบอร์เกอร์/เบเกอรี/เค้ก,191
192,อาหารตามสั่ง/ร้านข้าวต้ม,192
193,อาหารมุสลิม/ฮาลาล/ก๋วยเตี๋ยว/อาหารตามสั่ง,193
194,อาหารมุสลิม/ฮาลาล/ร้านกาแฟ/ชา/อาหารเช้า,194
195,ติ่มซำ/ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,195
196,อาหารมุสลิม/ฮาลาล/อาหารนานาชาติ/อาหารตามสั่ง,196
197,อาหารมุสลิม/ฮาลาล/คาเฟ่/อาหารฟิวชั่น,197
198,อาหารไทย/คาเฟ่/อาหารญี่ปุ่น,198
199,ของหวาน/อาหารจานเดียว/ร้านกาแฟ/ชา,199
200,อาหารมุสลิม/ฮาลาล/พิซซ่า,200
201,สเต๊ก/อาหารจานเดียว/เครื่องดื่ม/น้ำผลไม้,201
202,พิซซ่า/อาหารมุสลิม/ฮาลาล,202
203,คาเฟ่/อาหารไทย,203
204,ก๋วยเตี๋ยว/อาหารไทย/อาหารเช้า,204
205,ก๋วยเตี๋ยว/อาหารไทย,205
206,อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,206
207,ชานมไข่มุก/ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,207
208,อาหารเหนือ/อาหารไทย,208
209,กึ่งผับ/ร้านเหล้า/บาร์/อาหารนานาชาติ,209
210,อาหารมุสลิม/ฮาลาล/ร้านกาแฟ/ชา/อาหารตามสั่ง,210
211,อาหารตามสั่ง/ร้านกาแฟ/ชา,211
212,คาเฟ่/สตรีทฟู้ด/รถเข็น/ของหวาน,212
213,อาหารตามสั่ง/อาหารจานเดียว/อาหารมุสลิม/ฮาลาล,213
214,เบอร์เกอร์/ชานมไข่มุก/ของหวาน,214
215,สเต๊ก/เบอร์เกอร์/ร้านกาแฟ/ชา,215
216,ฟาสต์ฟู้ด/จานด่วน/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/อาหารไทย,216
217,อาหารมุสลิม/ฮาลาล/อาหารจานเดียว/ก๋วยเตี๋ยว,217
218,ร้านกาแฟ/ชา/ชานมไข่มุก/เครื่องดื่ม/น้ำผลไม้,218
219,อาหารจานเดียว/สเต๊ก,219
220,ชานมไข่มุก/เบเกอรี/เค้ก,220
221,อาหารจีน,221
222,อาหารไทย/อาหารจานเดียว/อาหารตามสั่ง,222
223,สตรีทฟู้ด/รถเข็น/อาหารเช้า,223
224,ของหวาน/ร้านกาแฟ/ชา/เครื่องดื่ม/น้ำผลไม้,224
225,อาหารมุสลิม/ฮาลาล/สเต๊ก/พิซซ่า,225
226,ปิ้งย่าง/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี,226
